Job_Seeker,Education_Title,Education_Title_Spec,Java_Programming_Skills,SQL_Programming_Skills,NOSQL_Programming_Skills,UML_Skills,SOA_Developer_Skills,Java_Web_Developer_Skills,Web_Developer_Skills,DB_Developer_Skills,Java_Persistence_Skills,Years_Experience_last,Position_count,Years_experience_position,Position_held,Recrutable
http://example.com/Name_103,Bachelor,Computer-Science,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,14,2,7, JAVA-DEVELOPER,Yes
http://example.com/Name_104,Bachelor,Computer-Science,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,14,2,7, JAVA-DEVELOPER,Yes
http://example.com/Name_105,Master,Electronics,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,5,1, JAVA-DEVELOPER,No
http://example.com/Name_106,Master,Electronics,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,5,1, JAVA-DEVELOPER,No
http://example.com/Name_107,Master,Computer-Science,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,4,JAVA-DEVELOPER,No
http://example.com/Name_108,Master,Computer-Science,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,4,JAVA-DEVELOPER,No
http://example.com/Name_114,Bachelor,Computer-Science,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,6,5,1.2, JAVA-DEVELOPER,Yes
http://example.com/Name_117,Bachelor,Computer-Science,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,2.5, JAVA-DEVELOPER,Yes
http://example.com/Name_118,Bachelor,Computer-Science,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,2.5, JAVA-DEVELOPER,Yes
http://example.com/Name_131,Bachelor,Computer-Engineering,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,5,1.6, JAVA-DEVELOPER,No
http://example.com/Name_132,Bachelor,Computer-Engineering,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,5,1.6, JAVA-DEVELOPER,No
http://example.com/Name_149,Bachelor,OTHER,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,6,1.166666667, JAVA-DEVELOPER,No
http://example.com/Name_150,Bachelor,OTHER,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,6,1.166666667, JAVA-DEVELOPER,No
http://example.com/Name_171,Bachelor,Computer-Science,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,9,6,1.5, JAVA-DEVELOPER,Yes
http://example.com/Name_172,Bachelor,Computer-Science,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,9,6,1.5, JAVA-DEVELOPER,Yes
http://example.com/Name_247,Bachelor,Computer-Science,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,JAVA-DEVELOPER,No
